10K:2
A1:1
C3:1
C4:1
C5:1
G***:3
H1:1
H13:1
H2:1
H3:1
H4:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J19:1
J20:1
J24:1
J25:1
J26:1
J3:1
J5:1
J8:1
J9:1
JP1:1
JP2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R17:1
R2:1
R4:1
R5:1
R9:1
